CC,CT,DC,GF,HE,JO,KC,KE,LE,RS,SB,ZC,ZL,ZM,ZO,ZR,ZS,ZW
1.0,0.1172479977620935,0.02796108392392379,0.03698176274418863,0.034723569082490496,0.04045304014182002,0.1685023975575594,0.0943099626099202,0.05863700811054728,0.1667776889358929,0.13851874005435208,0.09751296833037883,0.13359954803915064,0.07634251407413772,0.09832240212760457,0.06345878980034825,0.11553898480772197,0.09907606751722713
0.1172479977620935,1.0,0.03476382265534725,0.02023980940810187,0.060174614550519166,0.08347454591280301,0.15062597769082844,0.22336825158225557,0.07957804744212978,0.30032154471053507,0.18215889255777484,0.2572568951684502,0.28293315671175234,0.21124019777985195,0.17907887133570694,0.13758808447777177,0.2823085306368112,0.23193393207808113
0.02796108392392379,0.03476382265534725,1.0,-0.009871574391437056,0.021187491330813123,0.00822642382028385,0.02737182638469359,0.026473060405052238,0.017202620647496274,0.04747963689903358,0.00235927217245043,0.0332250303790326,0.04943466947574088,0.016196116607263035,0.02516135828947115,0.017415367442756503,0.032636076842394626,0.03803101991177374
0.03698176274418863,0.02023980940810187,-0.009871574391437056,1.0,0.24755249374408664,0.053177315290188286,0.05924862619896502,-0.03926949715964173,0.8070711350668609,0.010608163149627632,0.037029302324682066,-0.0987984101145556,0.013944110618165017,-0.0445394412914291,-0.03012578597338157,-0.017315400725378145,-0.026635586158927888,-0.04823707960420051
0.034723569082490496,0.060174614550519166,0.021187491330813123,0.24755249374408664,1.0,0.023743957179085333,0.051516128365206866,0.0801559330699563,0.29531586494010226,0.08287018242964284,0.05451690348643377,0.08360677085988356,0.07952275746128096,0.0717312554284199,0.07000651868766483,0.030842321739417602,0.09165375533296229,0.07456448119014608
0.04045304014182002,0.08347454591280301,0.00822642382028385,0.053177315290188286,0.023743957179085333,1.0,0.08140623805395632,0.040165130406249895,0.059746512478563815,0.10548587093749634,0.05382999290652392,0.061878593131612716,0.09045967588013047,0.07671009045006624,0.04823663628155302,0.0253657715467698,0.09258252834981968,0.03948494371438449
0.1685023975575594,0.15062597769082844,0.02737182638469359,0.05924862619896502,0.051516128365206866,0.08140623805395632,1.0,0.1650107555869171,0.09342758503798042,0.19102681720168413,0.22923457509845102,0.166031755119744,0.16841396610059806,0.1439438886308113,0.15176866779130202,0.08414823303350426,0.1763469242988346,0.17101046780448526
0.0943099626099202,0.22336825158225557,0.026473060405052238,-0.03926949715964173,0.0801559330699563,0.040165130406249895,0.1650107555869171,1.0,0.10691207609089524,0.4166865675811648,0.18753308047181252,0.6071530860557103,0.36814545760238565,0.3962977333933313,0.424467631516262,0.20265422330308278,0.45895633069844827,0.9396155148934479
0.05863700811054728,0.07957804744212978,0.017202620647496274,0.8070711350668609,0.29531586494010226,0.059746512478563815,0.09342758503798042,0.10691207609089524,1.0,0.12053009825556747,0.08406793253168116,0.11613240559876152,0.1198816319184579,0.07561458826882952,0.09240453031639925,0.0235932532746991,0.11219489282127272,0.09573330434938156
0.1667776889358929,0.30032154471053507,0.04747963689903358,0.010608163149627632,0.08287018242964284,0.10548587093749634,0.19102681720168413,0.4166865675811648,0.12053009825556747,1.0,0.2067078930689701,0.5032467760376239,0.7126889907291414,0.5626721962312358,0.38252779013808985,0.2228668802600222,0.714121002242304,0.4267325054790427
0.13851874005435208,0.18215889255777484,0.00235927217245043,0.037029302324682066,0.05451690348643377,0.05382999290652392,0.22923457509845102,0.18753308047181252,0.08406793253168116,0.2067078930689701,1.0,0.20297183459512272,0.18806197554449688,0.15837741481809683,0.13529065873765353,0.10353935995817189,0.20178261796040242,0.19336325084148406
0.09751296833037883,0.2572568951684502,0.0332250303790326,-0.0987984101145556,0.08360677085988356,0.061878593131612716,0.166031755119744,0.6071530860557103,0.11613240559876152,0.5032467760376239,0.20297183459512272,1.0,0.4817626614972483,0.5605173199505428,0.505321995371257,0.22340581173100366,0.633816938995883,0.6349926463328542
0.13359954803915064,0.28293315671175234,0.04943466947574088,0.013944110618165017,0.07952275746128096,0.09045967588013047,0.16841396610059806,0.36814545760238565,0.1198816319184579,0.7126889907291414,0.18806197554449688,0.4817626614972483,1.0,0.43594614558007144,0.347416032653109,0.2074003432858835,0.730466833693093,0.3824233089887374
0.07634251407413772,0.21124019777985195,0.016196116607263035,-0.0445394412914291,0.0717312554284199,0.07671009045006624,0.1439438886308113,0.3962977333933313,0.07561458826882952,0.5626721962312358,0.15837741481809683,0.5605173199505428,0.43594614558007144,1.0,0.3619562611759867,0.21162956034666255,0.8866840114359368,0.4127654072265215
0.09832240212760457,0.17907887133570694,0.02516135828947115,-0.03012578597338157,0.07000651868766483,0.04823663628155302,0.15176866779130202,0.424467631516262,0.09240453031639925,0.38252779013808985,0.13529065873765353,0.505321995371257,0.347416032653109,0.3619562611759867,1.0,0.2000115133006906,0.4158111677902341,0.4400557375172823
0.06345878980034825,0.13758808447777177,0.017415367442756503,-0.017315400725378145,0.030842321739417602,0.0253657715467698,0.08414823303350426,0.20265422330308278,0.0235932532746991,0.2228668802600222,0.10353935995817189,0.22340581173100366,0.2074003432858835,0.21162956034666255,0.2000115133006906,1.0,0.24822393568044523,0.21242472914541713
0.11553898480772197,0.2823085306368112,0.032636076842394626,-0.026635586158927888,0.09165375533296229,0.09258252834981968,0.1763469242988346,0.45895633069844827,0.11219489282127272,0.714121002242304,0.20178261796040242,0.633816938995883,0.730466833693093,0.8866840114359368,0.4158111677902341,0.24822393568044523,1.0,0.47707596529656393
0.09907606751722713,0.23193393207808113,0.03803101991177374,-0.04823707960420051,0.07456448119014608,0.03948494371438449,0.17101046780448526,0.9396155148934479,0.09573330434938156,0.4267325054790427,0.19336325084148406,0.6349926463328542,0.3824233089887374,0.4127654072265215,0.4400557375172823,0.21242472914541713,0.47707596529656393,1.0
