6A,6B,6C,6E,6J,6L,6M,6N,6R,6S,6Z,DX
1.0,0.5122101759855562,0.6170352726579431,0.544232475601701,0.060770616826087635,0.3651755419296478,0.4355839189877559,0.8102136994392424,0.3197879679461388,0.38090698767032166,0.505066879197435,-0.5918996664852347
0.5122101759855562,1.0,0.44125728998601166,0.6110326867935125,0.15579832082774506,0.21446954133729218,0.2842606533816051,0.5043576447272121,0.22081265106774803,0.47882267622146113,0.35039451005698213,-0.7040634021995097
0.6170352726579431,0.44125728998601166,1.0,0.44164309745925645,0.014118907602754223,0.34131832323992484,0.4405598986161843,0.5647149065159293,0.3308140147715816,0.30469263233131777,0.4500783888129045,-0.5296980070262315
0.544232475601701,0.6110326867935125,0.44164309745925645,1.0,0.28113564996218726,0.20624234342211603,0.23401052927368832,0.5288188750545566,0.2282503479287923,0.7776525890369052,0.3751938833681734,-0.9681296559647609
0.060770616826087635,0.15579832082774506,0.014118907602754223,0.28113564996218726,1.0,-0.05906917865076968,-0.1120951255992965,0.08962836083921194,-0.043921786701774594,0.3859061595184844,0.00899603889766575,-0.41196720449767527
0.3651755419296478,0.21446954133729218,0.34131832323992484,0.20624234342211603,-0.05906917865076968,1.0,0.49292600401435654,0.318804444927423,0.27088695687632786,0.09319205352438632,0.38788731354143924,-0.22591851037244035
0.4355839189877559,0.2842606533816051,0.4405598986161843,0.23401052927368832,-0.1120951255992965,0.49292600401435654,1.0,0.38546587375971425,0.3494332055706556,0.09584129608592495,0.48580662956398074,-0.2634183002336708
0.8102136994392424,0.5043576447272121,0.5647149065159293,0.5288188750545566,0.08962836083921194,0.318804444927423,0.38546587375971425,1.0,0.2844351132484944,0.3846066176062426,0.4659658253493137,-0.5748807323030741
0.3197879679461388,0.22081265106774803,0.3308140147715816,0.2282503479287923,-0.043921786701774594,0.27088695687632786,0.3494332055706556,0.2844351132484944,1.0,0.14704392075243078,0.3181327170307593,-0.24536383190293193
0.38090698767032166,0.47882267622146113,0.30469263233131777,0.7776525890369052,0.3859061595184844,0.09319205352438632,0.09584129608592495,0.3846066176062426,0.14704392075243078,1.0,0.24304947587063133,-0.7923402727938613
0.505066879197435,0.35039451005698213,0.4500783888129045,0.3751938833681734,0.00899603889766575,0.38788731354143924,0.48580662956398074,0.4659658253493137,0.3181327170307593,0.24304947587063133,1.0,-0.4031752657016637
-0.5918996664852347,-0.7040634021995097,-0.5296980070262315,-0.9681296559647609,-0.41196720449767527,-0.22591851037244035,-0.2634183002336708,-0.5748807323030741,-0.24536383190293193,-0.7923402727938613,-0.4031752657016637,1.0
